High1 High2 High3 High4 Low1 Low2 Low3 Low4
1552671_a_at 5.5240279668547 5.72077394919114 5.46443584078766 6.7034152750328 5.9155336005676 5.96125851009363 5.8976404132533 5.79876531939187
1552678_a_at 8.17619853423039 8.08894813793412 8.04104639808655 7.73262415773895 7.75651727828922 7.73206485006211 7.68343634599843 7.60799195614053
1552680_a_at 6.05721604628638 6.3364139182526 6.15619441545388 6.21554597201743 5.49724335970786 6.00054763223443 5.85362052974728 5.75296811820914
1552682_a_at 6.05244103992442 5.95599034278508 5.78304746181893 6.37152041487142 5.55455647723816 5.16633425053337 5.24052009236732 5.1550964897715
1552684_a_at 5.87022438141641 5.52506878722162 5.58864782998212 5.51917220966183 4.77736842660541 5.02528202735262 4.79450273783952 4.70726414346655
1552685_a_at 3.57460704832814 3.54095031748909 3.87950051572314 5.40402533209243 6.50402032384627 6.45636502936891 6.40731622981369 6.26270866414647
1552695_a_at 5.87022438141641 5.53068285572122 5.23166447387987 4.41415889321824 4.77305140240265 5.06310370805872 5.08051038153606 5.01068069990121
1552696_at 3.75766254456136 3.62269086123574 3.93231314838082 4.72870725407324 4.09322248054033 4.09265071574228 3.94227641099113 3.89766770877681
1552701_a_at 7.37757443263561 7.46302934734429 7.54424645351963 7.76766374252008 8.3291364779806 8.26560815484393 7.94435560188316 7.8355304609962
1552703_s_at 6.5743652659812 6.5605738604464 6.44714162237003 6.92622657315989 7.28977368354464 7.34939540812563 7.01813736581521 6.91580945414713
1552705_at 3.00480337064021 3.20335114305438 3.21906324576351 3.45489935159778 3.34763201403157 3.31921821515142 3.24993882030812 3.30903793171228
1552711_a_at 8.52792335912104 8.49433219065229 8.63705644957419 8.46297191972508 8.2957603083584 8.21393541091188 8.25208959707536 8.24145504653889
1552712_a_at 6.35744903528184 6.4788008027327 6.3534277028594 7.35534634453284 7.70019580247789 7.77410909105987 7.66351373937938 7.57678041555065
1552716_at 6.32632427253378 6.04713642596572 6.04041095216965 6.2488394717871 5.3668396290362 5.27253079450146 4.809981064952 4.74153910964025
1552717_s_at 6.83924619222029 6.94642456236444 6.87042973903093 6.25232395498511 6.2422407382988 6.11520068623704 6.24946498838024 6.14088836136637
1552724_at 4.33186312500935 4.20653349727047 4.44639178920146 4.33260764021853 4.38416026030663 4.48614020459881 4.64535499563781 4.6180501322865
1552732_at 2.649008536646 2.73570425812047 2.61378681105034 2.65954202240926 2.62177551014968 2.67149508141092 2.50077463302632 2.50077463302632
1552734_at 3.36907813782866 3.38061820365755 2.96531189640605 3.50967933954548 3.76082657186183 3.68040701492033 3.67126188380232 3.62585711266899
1552735_at 7.59525019836295 7.91258839263698 8.04579222454224 7.7384878112512 7.74824894835013 7.72879920603154 7.76570363437138 7.63144258110874
1552736_a_at 3.36545618038063 3.32377306823614 3.31500264230867 3.34235632476224 3.22791352393315 3.38228803143823 3.06791784366437 3.06628007682309
1552737_s_at 6.25045896755658 6.2438459758754 6.04219420996796 6.4703132609686 6.71736793245302 6.40524297829053 6.41755425371125 6.27299958842626
1552738_a_at 6.26325963245553 6.19888964209783 6.54553816065599 6.58898305008477 5.90564950190365 5.88837868224642 5.82895792196287 5.7972811388779
1552739_s_at 6.523558304076 6.5549430440292 6.6123919691473 6.62638684582328 5.40123714635817 5.76970055899415 5.52504963486418 5.43208924676719
1552740_at 3.63193426127777 4.13588398562288 4.11223632872414 4.98821360310682 5.10234981732353 4.2470624768273 4.65035921766772 4.56812545683298
1552752_a_at 4.56320504569567 4.35158067365835 4.67133510869559 4.47847506889032 4.31645766523217 4.59119922495251 4.67353285163331 4.63283118816515
1552754_a_at 4.05141663113748 3.93723303072293 4.18689768078119 3.52830517754021 3.94443784436306 4.34500605926947 4.18264426765247 4.12222279780289
1552766_at 9.35330911362443 9.576506924589 9.46816516518548 9.43549348087903 9.230985387185 9.15365828235019 9.145598867996 9.1789783297792
1552767_a_at 11.2244273010576 11.2452340404257 11.2374373383021 10.9997627765357 11.383621580662 11.3625349562976 11.3077158932058 11.3364716380517
1552773_at 3.80838684024346 3.46603720421499 3.63310125154929 3.63719770703527 3.87790832371049 3.66451471618197 3.85723253577118 3.83989354170055
1552777_a_at 5.60649621181932 5.58516026790884 5.45495899703942 6.88451491799988 6.45601807320548 6.78059332731864 6.60484581993955 6.48516980248435
1552782_at 3.19482428837702 3.01888348019832 3.01290297595157 2.71821403350428 2.71324211815301 2.63891177615583 2.77657621774783 2.76858751864848
1552787_at 5.37993777229611 5.72727962576665 5.52532881544974 5.78888082689498 5.38523719878738 5.69483803384452 5.60384568077522 5.53139809036094
1552788_a_at 6.05071397672537 5.97079245772925 5.89164439017976 6.00346378612025 6.42099103189114 6.19388142626963 6.50770185478254 6.3824777828602
1552789_at 6.51982135457484 6.61012253529945 6.72857857390986 6.10997994740938 6.94470404498975 6.70270148180963 6.57540175340158 6.5204413929902
1552790_a_at 7.57397304888022 7.58327029851635 7.7368098876426 6.91000495802957 8.15129439428784 8.21395441041908 8.11141838855703 7.98960021896622
1552792_at 6.66702845774872 6.42356213865492 6.46195021486283 6.27616178483342 5.07174475209113 4.97569634024197 4.81144474529348 4.7471857348466
1552793_at 5.99258084230053 6.03844693440454 5.96079485749304 6.03921273894687 6.11527441846586 5.97063123980162 5.98086595682074 5.82900164042347
1552794_a_at 4.44684374496075 4.39375985323424 4.46318424908747 3.9660076906474 3.75920465225837 3.61661370150945 3.40985965560336 3.39154029171244
1552797_s_at 5.75043302296089 5.94944951337279 5.89164439017976 9.23827169019546 10.0708318919365 10.1677148317769 10.1291606548417 10.1568970610602
1552798_a_at 6.49415204496272 6.33248459296295 6.21852740236593 6.01890291944927 6.4156428694549 6.19436141199027 6.26433276772953 6.14962822564652
1552804_a_at 6.10483441686638 6.06189174127223 6.24656676489204 6.39545449650773 6.2061943114407 6.18723622373323 6.18962101966586 6.11762485011132
1552812_a_at 7.4354567457728 7.47023459502592 7.35598674579646 7.25617997101208 6.63119616799399 6.78208490163702 6.53270974550289 6.41422622793487
1552822_at 3.2356487081798 3.13628528250524 3.63390661976724 3.80853193274761 3.22720591899433 3.95469682184335 3.72364484746821 3.76776124961089
1552836_at 5.66474577034888 5.34245928495697 5.41961166672266 5.20245435661461 5.21882735178555 5.19714409619792 5.13570424079997 5.02003688912515
1552863_a_at 6.56329179433152 6.3147477615632 6.22969739458929 6.30927485489663 6.68438298923717 6.60214563681699 6.85695437457298 6.86617463145468
1552880_at 2.7946906854665 2.54345754637196 2.7946906854665 2.77626280897332 2.89764627778513 2.97318744397444 2.93901777861929 2.89776345831925
1552895_a_at 3.0918115635251 2.94832967757978 3.12941034152007 3.16340936820787 2.84213411634447 3.05913001715355 3.00173267259183 3.00173267259183
1552897_a_at 3.80361148731458 3.86361107582725 3.4754388738804 5.87637641124006 5.01718976056067 5.09482872125571 4.87560256957553 4.79304457479741
1552906_at 9.21140142255719 9.09199625822579 9.09996904209409 9.18088548280351 8.3334013360966 8.30883693828385 8.20907788684851 8.12492914079335
1552914_a_at 7.67493505400797 7.80057053712128 7.80002456905323 8.30182557906526 7.81252985610227 7.77062522862516 7.89583848804831 7.81198839601277
1552919_at 5.56811820357088 5.55322498582981 5.61288029334447 6.47719156251955 5.6856128466606 5.49692367154219 5.54526096208683 5.46717411954783
1552921_a_at 7.41915497519693 7.42664050234103 7.38914005606572 8.11408465986712 7.75607085858883 7.74685606435757 7.79413006866896 7.62955300569589
1552927_at 5.34024421785132 5.42244649018861 5.06370254425094 5.39234135524727 5.43276141487385 5.16470676190941 5.20162620781485 5.108518693787
1552928_s_at 6.22226399110414 6.37261004954106 6.10101821024295 6.17392383113408 6.35083573913348 6.17280529219061 6.12325946881506 6.02865274415333
1552930_at 5.95775587405081 6.09139558025614 5.79336096322495 6.10715377607136 5.9007277143528 5.78362781281357 6.05640919347354 5.92294654712933
1552931_a_at 8.13192858080552 8.06880130539075 8.07887176858947 8.00931893572586 7.39557677895416 7.30520027904127 7.10036518968714 6.97420863453928
1552937_s_at 8.09257847822978 8.03526183123722 8.0684395741671 7.87801502194613 6.95208621997122 7.02280527463817 7.16835367774906 7.01892805754581
1552942_at 4.4009055544051 4.38288715649001 4.09358895862804 4.3231876701659 4.27313457177757 4.30791910885841 4.48152407611964 4.41634511499803
1552946_at 8.21489094671614 8.36721115030104 8.29317368831654 8.41341950799485 7.78206963973063 7.73342144619251 7.64565463353847 7.63595075232156
1552947_x_at 8.02773305796253 8.23181109925775 8.1673887778753 8.13794415616485 7.8869950386778 7.53522985999153 7.47416095537866 7.50477249988297
1552953_a_at 4.01530290005005 4.26385795266154 4.24667865421689 4.39759832193035 4.2487820581163 4.27518293979242 4.29830812664255 4.2014972863932
1552969_a_at 3.57137132102743 3.40918195866862 3.31522250337159 3.69777801772469 3.38768450357021 3.22702645992964 3.11357791265321 3.03669334489563
1552970_s_at 4.01001982942667 4.10959730788066 3.4492953144394 4.53620526673799 3.97432654164364 4.12719059924987 3.83037396871515 3.82294790937515
1552972_at 3.54200545153337 3.82818190379122 3.59400315056224 3.44457204618391 3.131801105901 2.90153017855151 3.08842337842079 3.05326761997288
1552976_at 5.42754067784301 5.5130944747177 5.37624464285602 5.5554632320223 5.5627262639432 5.64467820166873 6.00737529167656 6.01770010817196
1552977_a_at 8.48157083626452 8.54003664351738 8.56797199197749 8.52467596798175 8.37277313292125 8.38262947212723 8.18979564351649 8.09863702820249
1552978_a_at 9.33637019031555 9.4286803475354 9.29927200682782 8.57396937131686 8.87877214981558 8.81608261748531 9.00439289248385 9.05279217285198
1552980_at 4.55280013457075 4.71868826944727 4.37907505473894 4.33982218332872 4.83065833795226 5.03560643443324 4.72261484413158 4.6429001609187
1553015_a_at 9.99335623877213 9.98891419907541 10.0147394253196 9.96298792514345 9.34908119273827 9.2188788714817 9.28647769147855 9.31911421645669
1553021_s_at 7.30978831744853 7.42321238468188 7.16688536656557 6.60909224949032 6.32632427253378 6.25255470040142 5.9548665852958 5.84836827499743
1553030_a_at 5.64465641537375 5.48080355412915 5.81884821713574 5.71669809752978 6.29343115301109 6.13049722342236 6.2454414279787 6.15414205319231
1553033_at 4.01751385011063 3.90015211259609 4.02886023404988 4.24257943380716 4.71580041495107 4.84022502291294 4.7644243453202 4.67133510869559
1553034_at 5.46854654508881 5.24463779418624 5.16182515121616 5.07604599968846 4.57999919616888 4.83266780287365 5.20061671163705 5.17100602661777
1553045_at 6.04068983404228 6.0068055888303 5.81518820970487 8.31391291811456 7.06072565148228 6.91387761432332 6.75169389771086 6.68688129312753
1553048_a_at 7.78224578292699 7.52279112650534 7.54959372967342 7.36771587859237 7.03661081096546 6.77187752692136 6.7751716799394 6.68798120384543
1553055_a_at 7.02499402025633 7.03682053298117 6.94690758974696 6.81611135980722 7.85561071353636 7.92700247615509 7.84244180468386 7.83904756204482
1553080_at 2.87023032837344 2.8487109609442 2.63874817392747 2.84213411634447 2.92373436402241 2.91213335762372 3.03548203558922 2.9668813890128
1553088_a_at 5.97871426062644 6.12103831862829 5.78415667337102 6.12763500938638 6.11658905382046 6.22641244130341 6.24739695202669 6.2224925486806
1553096_s_at 7.56465702409981 7.54615608227041 7.4956279482339 7.92070565754538 7.7123784622406 7.96591492518552 7.8847620285178 7.79008666442864
1553099_at 9.68011391228172 9.76790264047487 9.76052522596353 9.24488886011753 8.95465420047972 8.84125839340196 8.73267839825603 8.71363280111941
