Team,GP,W,L,Min,Passes Made,Passes Received,Ast,Secondary Ast,Potential Ast,Ast Pts Created,Ast Adj,Ast to Pass %,Ast to Pass % Adj,Season
Atlanta Hawks,82,29,53,19855,24593,24591,2118,229,3960,5300,2442,8.6,9.9,2018-19
Boston Celtics,82,49,33,19780,24317,24317,2155,306,3900,5343,2523,8.9,10.4,2018-19
Brooklyn Nets,82,42,40,19980,25337,25336,1954,223,3701,4904,2278,7.7,9,2018-19
Charlotte Hornets,82,39,43,19830,23785,23784,1905,237,3469,4776,2239,8,9.4,2018-19
Chicago Bulls,81,22,59,19665,23047,23045,1778,143,3157,4291,1973,7.7,8.6,2018-19
Cleveland Cavaliers,82,19,63,19755,23313,23047,1698,185,3176,4186,1941,7.3,8.3,2018-19
Dallas Mavericks,82,33,49,19780,25715,25714,1918,257,3626,4837,2255,7.5,8.8,2018-19
Denver Nuggets,82,54,28,19730,25624,25355,2245,303,3871,5455,2624,8.8,10.2,2018-19
Detroit Pistons,82,41,41,19855,25178,25178,1845,257,3589,4637,2169,7.3,8.6,2018-19
Golden State Warriors,82,57,25,19805,26248,25950,2413,317,4306,5908,2831,9.2,10.8,2018-19
Houston Rockets,82,53,29,19830,20176,20175,1741,207,3376,4428,2017,8.6,10,2018-19
Indiana Pacers,82,48,34,19705,25198,25197,2128,269,3683,5096,2467,8.4,9.8,2018-19
LA Clippers,82,48,34,19830,24866,24867,1970,221,3351,4846,2293,7.9,9.2,2018-19
Los Angeles Lakers,82,37,45,19780,22772,22772,2096,246,3865,5033,2424,9.2,10.6,2018-19
Memphis Grizzlies,82,33,49,19880,27046,27044,1963,305,3693,4818,2374,7.3,8.8,2018-19
Miami Heat,82,39,43,19730,24711,24710,1991,228,3804,4973,2310,8.1,9.3,2018-19
Milwaukee Bucks,82,60,22,19780,23334,23332,2136,230,3832,5329,2421,9.2,10.4,2018-19
Minnesota Timberwolves,82,36,46,19830,23820,23818,2018,245,3637,4945,2346,8.5,9.8,2018-19
New Orleans Pelicans,82,33,49,19755,25394,25393,2216,235,3917,5368,2536,8.7,10,2018-19
New York Knicks,81,17,64,19540,23761,23760,1631,194,3186,4079,1885,6.9,7.9,2018-19
Oklahoma City Thunder,81,48,33,19615,19631,19630,1897,178,3644,4700,2164,9.7,11,2018-19
Orlando Magic,80,40,40,19300,22689,22688,2054,272,3924,5042,2393,9.1,10.5,2018-19
Philadelphia 76ers,81,51,30,19565,25671,25672,2179,273,4026,5374,2538,8.5,9.9,2018-19
Phoenix Suns,82,19,63,19880,25112,25110,1957,229,3663,4717,2262,7.8,9,2018-19
