Season_Rank,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Season
20,Utah Jazz,82,39,43,0.476,3976,8153,3064,6590,46.5,435,1256,34.6,1590,2061,77.1,898,2338,3236,1921,1175,629,484,411,1865,1802,-150,2010-11
21,Golden State Warriors,82,36,46,0.439,3966,8477,3251,7047,46.1,685,1749,39.2,1290,1695,76.1,955,2370,3325,1847,1198,737,406,352,1806,1512,-191,2010-11
22,Los Angeles Clippers,82,32,50,0.39,3971,8089,3015,6594,45.7,513,1519,33.8,1546,2187,70.7,955,2501,3456,1813,1343,585,402,404,1733,1811,-257,2010-11
23,Detroit Pistons,82,30,52,0.366,3976,7951,3056,6647,46,472,1256,37.6,1367,1854,73.7,931,2236,3167,1730,1067,595,328,381,1629,1545,-295,2010-11
24,Charlotte Bobcats,82,34,48,0.415,3961,7650,2873,6365,45.1,393,1203,32.7,1511,1999,75.6,848,2444,3292,1728,1192,524,433,496,1637,1730,-328,2010-11
25,Sacramento Kings,82,24,58,0.293,3971,8151,3134,6979,44.9,428,1277,33.5,1455,1981,73.4,1071,2526,3597,1675,1324,608,391,464,1805,1723,-438,2010-11
26,New Jersey Nets,82,24,58,0.293,4001,7722,2918,6638,44,459,1337,34.3,1427,1881,75.9,909,2440,3349,1723,1152,458,384,375,1807,1638,-512,2010-11
27,Toronto Raptors,82,22,60,0.268,3956,8124,3144,6755,46.5,345,1091,31.6,1491,1976,75.5,963,2343,3306,1795,1206,581,350,456,1807,1620,-515,2010-11
28,Minnesota Timberwolves,82,17,65,0.207,3956,8288,3090,7014,44.1,589,1565,37.6,1519,1977,76.8,1085,2556,3641,1650,1398,592,422,447,1825,1717,-544,2010-11
29,Washington Wizards,82,23,59,0.28,3986,7977,3048,6888,44.3,392,1182,33.2,1489,1999,74.5,1013,2374,3387,1592,1258,665,502,413,1850,1662,-607,2010-11
30,Cleveland Cavaliers,82,19,63,0.232,3951,7827,2886,6647,43.4,509,1489,34.2,1546,2075,74.5,856,2449,3305,1720,1166,544,341,489,1648,1747,-739,2010-11
1,Orlando Magic,82,59,23,0.72,3946,8426,3005,6394,47,841,2241,37.5,1575,2176,72.4,810,2736,3546,1615,1155,512,456,288,1629,1819,614,2009-10
2,Cleveland Cavaliers,82,61,21,0.744,3956,8373,3101,6391,48.5,602,1582,38.1,1569,2180,72,791,2692,3483,1835,1137,564,425,325,1591,1708,535,2009-10
3,Utah Jazz,82,53,29,0.646,3951,8547,3227,6575,49.1,439,1207,36.4,1654,2233,74.1,872,2588,3460,2187,1246,675,400,445,1859,1818,438,2009-10
4,San Antonio Spurs,82,50,32,0.61,3956,8312,3150,6659,47.3,554,1547,35.8,1458,1969,74,887,2621,3508,1829,1116,516,381,417,1669,1672,417,2009-10
5,Phoenix Suns,82,54,28,0.659,3946,9039,3339,6788,49.2,730,1770,41.2,1631,2117,77,910,2616,3526,1912,1210,479,418,365,1713,1789,402,2009-10
6,Los Angeles Lakers,82,57,25,0.695,3966,8339,3144,6875,45.7,532,1562,34.1,1519,1985,76.5,973,2662,3635,1730,1096,612,400,363,1592,1737,387,2009-10
7,Atlanta Hawks,82,53,29,0.646,3971,8338,3181,6801,46.8,524,1455,36,1452,1914,75.9,969,2451,3420,1789,980,592,413,359,1632,1582,382,2009-10
8,Denver Nuggets,82,53,29,0.646,3956,8729,3124,6678,46.8,544,1517,35.9,1937,2508,77.2,889,2505,3394,1719,1136,683,417,438,1844,1943,335,2009-10
9,Boston Celtics,82,50,32,0.61,3956,8136,3039,6294,48.3,499,1433,34.8,1559,2090,74.6,716,2449,3165,1930,1219,701,402,386,1816,1777,300,2009-10
10,Oklahoma City Thunder,82,50,32,0.61,3961,8322,3063,6629,46.2,418,1229,34,1778,2210,80.5,960,2607,3567,1639,1227,654,481,384,1743,1755,286,2009-10
11,Portland Trail Blazers,82,50,32,0.61,3971,8045,2974,6453,46.1,491,1388,35.4,1606,2033,79,913,2383,3296,1674,1012,523,350,333,1715,1767,271,2009-10
12,Dallas Mavericks,82,55,27,0.671,3976,8364,3140,6760,46.4,558,1498,37.2,1526,1870,81.6,834,2586,3420,1917,1059,624,449,337,1563,1652,223,2009-10
13,Miami Heat,82,47,35,0.573,3976,7914,2984,6518,45.8,494,1426,34.6,1452,1931,75.2,875,2553,3428,1548,1079,605,457,355,1710,1639,187,2009-10
14,Milwaukee Bucks,82,46,36,0.561,3996,8009,3050,6998,43.6,645,1813,35.6,1264,1675,75.5,965,2560,3525,1740,1085,580,385,421,1823,1664,139,2009-10
15,Charlotte Bobcats,82,44,38,0.537,3976,7813,2858,6306,45.3,460,1331,34.6,1637,2180,75.1,858,2490,3348,1658,1290,632,446,502,1597,1804,120,2009-10
16,Houston Rockets,82,42,40,0.512,3981,8395,3094,6923,44.7,646,1838,35.1,1561,2022,77.2,971,2471,3442,1790,1188,583,318,532,1712,1840,-30,2009-10
17,Memphis Grizzlies,82,40,42,0.488,3981,8404,3223,6875,46.9,344,1020,33.7,1614,2202,73.3,1070,2496,3566,1543,1248,645,399,501,1655,1840,-124,2009-10
18,Chicago Bulls,82,41,41,0.5,3981,7993,3081,6825,45.1,352,1066,33,1479,1962,75.4,937,2715,3652,1704,1175,531,478,438,1648,1643,-134,2009-10
19,Toronto Raptors,82,40,42,0.488,3956,8534,3199,6631,48.2,518,1397,37.1,1618,2118,76.4,806,2507,3313,1804,1100,469,384,360,1819,1730,-146,2009-10
20,New Orleans Hornets,82,37,45,0.451,3966,8220,3178,6842,46.4,571,1572,36.3,1293,1661,77.8,852,2450,3302,1828,1103,625,300,367,1606,1597,-202,2009-10
21,Indiana Pacers,82,32,50,0.39,3941,8263,3020,6823,44.3,659,1896,34.8,1564,2019,77.5,785,2618,3403,1730,1232,585,439,414,1848,1709,-247,2009-10
22,Golden State Warriors,82,26,56,0.317,3946,8922,3329,7094,46.9,633,1687,37.5,1631,2085,78.2,753,2397,3150,1839,1204,761,340,407,1886,1757,-295,2009-10
23,New York Knicks,82,29,53,0.354,3976,8373,3127,6876,45.5,743,2145,34.6,1376,1759,78.2,836,2477,3313,1772,1148,586,305,368,1638,1576,-313,2009-10
24,Philadelphia 76ers,82,27,55,0.329,3961,8014,3087,6706,46,474,1381,34.3,1366,1808,75.6,941,2421,3362,1723,1192,667,439,332,1677,1534,-320,2009-10
25,Sacramento Kings,82,25,57,0.305,3976,8200,3144,6895,45.6,482,1383,34.9,1430,1969,72.6,977,2518,3495,1679,1226,564,366,468,1827,1650,-358,2009-10
26,Washington Wizards,82,26,56,0.317,3966,7892,3008,6700,44.9,432,1225,35.3,1444,1895,76.2,966,2458,3424,1557,1219,493,421,415,1752,1684,-392,2009-10
27,Detroit Pistons,82,27,55,0.329,3956,7709,2940,6602,44.5,374,1190,31.4,1455,1998,72.8,1053,2242,3295,1591,1100,596,313,401,1822,1702,-419,2009-10
28,Los Angeles Clippers,82,29,53,0.354,3941,7849,3002,6601,45.5,483,1457,33.2,1362,1867,73,927,2502,3429,1810,1285,532,466,363,1581,1588,-521,2009-10
29,New Jersey Nets,82,12,70,0.146,3956,7575,2813,6554,42.9,377,1185,31.8,1572,2015,78,897,2358,3255,1540,1182,573,393,421,1643,1647,-748,2009-10
30,Minnesota Timberwolves,82,15,67,0.183,3956,8051,3106,6923,44.9,403,1181,34.1,1436,1926,74.6,962,2556,3518,1626,1333,597,306,442,1699,1686,-787,2009-10
1,Cleveland Cavaliers,82,66,16,0.805,3956,8223,3022,6454,46.8,656,1670,39.3,1523,2012,75.7,886,2574,3460,1663,1045,593,435,338,1663,1664,732,2008-09
2,Los Angeles Lakers,82,65,17,0.793,3956,8768,3307,6981,47.4,547,1516,36.1,1607,2087,77,1015,2587,3602,1908,1103,718,420,392,1698,1816,628,2008-09
3,Boston Celtics,82,62,20,0.756,3976,8275,3075,6333,48.6,538,1355,39.7,1587,2075,76.5,869,2586,3455,1862,1280,621,387,389,1897,1820,616,2008-09
4,Orlando Magic,82,59,23,0.72,3946,8286,2929,6416,45.7,817,2147,38.1,1611,2253,71.5,819,2728,3547,1593,1142,570,439,308,1664,1840,549,2008-09
5,Portland Trail Blazers,82,54,28,0.659,3966,8153,3018,6494,46.5,596,1555,38.3,1521,1988,76.5,1060,2360,3420,1667,1055,550,402,319,1671,1733,438,2008-09
6,Houston Rockets,82,53,29,0.646,3961,8070,2959,6526,45.3,621,1656,37.5,1531,1903,80.5,862,2662,3524,1662,1158,548,355,435,1553,1689,328,2008-09
7,San Antonio Spurs,82,54,28,0.659,3981,7958,3042,6534,46.6,625,1620,38.6,1249,1641,76.1,728,2638,3366,1736,963,474,329,352,1546,1511,308,2008-09
8,Denver Nuggets,82,54,28,0.659,3946,8555,3058,6510,47,548,1477,37.1,1891,2487,76,905,2507,3412,1820,1257,710,492,447,1874,1944,280,2008-09
9,Utah Jazz,82,48,34,0.585,3976,8492,3143,6623,47.5,392,1122,34.9,1814,2352,77.1,940,2423,3363,2024,1210,719,374,424,1830,1972,217,2008-09
10,Dallas Mavericks,82,50,32,0.61,3961,8343,3128,6770,46.2,571,1632,35,1516,1852,81.9,909,2595,3504,1779,1043,591,429,334,1600,1645,162,2008-09
11,Phoenix Suns,82,46,36,0.561,3951,8974,3373,6695,50.4,553,1445,38.3,1675,2251,74.4,900,2520,3420,1905,1288,589,420,369,1691,1877,158,2008-09
12,Atlanta Hawks,82,47,35,0.573,3941,8046,2956,6451,45.8,597,1633,36.6,1537,2085,73.7,870,2412,3282,1657,1048,603,376,354,1610,1681,129,2008-09
13,New Orleans Hornets,82,49,33,0.598,3951,7857,2911,6366,45.7,556,1526,36.4,1479,1833,80.7,802,2453,3255,1609,1029,593,338,290,1665,1675,127,2008-09
14,Miami Heat,82,43,39,0.524,3991,8061,3034,6646,45.7,582,1631,35.7,1411,1871,75.4,828,2411,3239,1671,1026,651,451,335,1696,1632,21,2008-09
15,Philadelphia 76ers,82,41,41,0.5,3951,7987,2997,6532,45.9,341,1072,31.8,1652,2216,74.5,1039,2336,3375,1647,1157,658,415,400,1650,1786,6,2008-09
16,Chicago Bulls,82,41,41,0.5,3986,8378,3126,6846,45.7,493,1293,38.1,1633,2052,79.6,970,2481,3451,1732,1192,615,453,449,1709,1708,-23,2008-09
17,Detroit Pistons,82,39,43,0.476,3981,7727,2981,6559,45.4,377,1079,34.9,1388,1849,75.1,949,2448,3397,1689,973,493,377,342,1712,1612,-40,2008-09
18,Milwaukee Bucks,82,34,48,0.415,3956,8142,3009,6755,44.5,511,1408,36.3,1613,2067,78,973,2367,3340,1802,1154,609,308,376,1986,1842,-89,2008-09
19,Indiana Pacers,82,36,46,0.439,3966,8617,3220,7080,45.5,652,1725,37.8,1525,1890,80.7,924,2661,3585,1775,1189,573,434,444,1895,1692,-91,2008-09
20,Charlotte Bobcats,82,35,47,0.427,3986,7677,2866,6299,45.5,490,1339,36.6,1455,1965,74,886,2366,3252,1741,1279,580,397,488,1754,1714,-104,2008-09
21,New Jersey Nets,82,34,48,0.415,3966,8044,2925,6536,44.8,652,1735,37.6,1542,1980,77.9,850,2415,3265,1636,1075,559,391,393,1838,1680,-200,2008-09
22,New York Knicks,82,32,50,0.39,3961,8627,3157,7091,44.5,823,2284,36,1490,1900,78.4,911,2545,3456,1738,1174,610,204,437,1672,1592,-214,2008-09
23,Toronto Raptors,82,33,49,0.402,3961,8121,3054,6673,45.8,479,1289,37.2,1534,1861,82.4,802,2513,3315,1835,1098,523,390,386,1593,1645,-231,2008-09
24,Golden State Warriors,82,29,53,0.354,3976,8905,3231,7055,45.8,550,1475,37.3,1893,2392,79.1,953,2492,3445,1711,1201,638,527,414,1842,1927,-307,2008-09
25,Minnesota Timberwolves,82,24,58,0.293,3961,8019,2986,6766,44.1,543,1539,35.3,1504,1957,76.9,975,2442,3417,1674,1165,512,322,484,1785,1642,-403,2008-09
26,Memphis Grizzlies,82,24,58,0.293,3961,7698,2865,6311,45.4,398,1106,36,1570,2077,75.6,847,2337,3184,1423,1252,615,385,443,1777,1786,-448,2008-09
27,Oklahoma City Thunder,82,23,59,0.28,3961,7952,2999,6716,44.7,328,949,34.6,1626,2069,78.6,999,2497,3496,1663,1330,608,371,407,1655,1656,-500,2008-09
28,Washington Wizards,82,19,63,0.232,3941,7877,2994,6655,45,395,1198,33,1494,1948,76.7,956,2330,3286,1641,1146,619,365,431,1679,1638,-612,2008-09
29,Sacramento Kings,82,17,65,0.207,3981,8248,2990,6685,44.7,586,1594,36.8,1682,2107,79.8,840,2366,3206,1619,1266,569,349,423,1910,1737,-718,2008-09
30,Los Angeles Clippers,82,19,63,0.232,3976,7799,2955,6696,44.1,535,1513,35.4,1354,1839,73.6,890,2377,3267,1723,1221,572,482,414,1650,1609,-719,2008-09
1,Boston Celtics,82,66,16,0.805,3951,8245,2986,6286,47.5,596,1564,38.1,1677,2176,77.1,830,2615,3445,1833,1246,696,379,389,1864,1818,841,2007-08
2,Detroit Pistons,82,59,23,0.72,3946,7992,2999,6551,45.8,487,1330,36.6,1507,1965,76.7,974,2423,3397,1831,956,583,472,319,1688,1618,606,2007-08
3,Los Angeles Lakers,82,57,25,0.695,3956,8904,3248,6818,47.6,662,1751,37.8,1746,2270,76.9,898,2722,3620,2003,1156,654,438,368,1691,1850,595,2007-08
4,Utah Jazz,82,54,28,0.659,3941,8710,3279,6592,49.7,407,1095,37.2,1745,2298,75.9,942,2410,3352,2165,1200,717,355,420,1970,1891,564,2007-08
5,Orlando Magic,82,52,30,0.634,3956,8567,3058,6446,47.4,801,2074,38.6,1650,2288,72.1,768,2677,3445,1706,1173,520,333,344,1688,1898,448,2007-08
6,New Orleans Hornets,82,56,26,0.683,3961,8270,3164,6796,46.6,630,1621,38.9,1312,1707,76.9,937,2494,3431,1785,974,637,321,331,1531,1573,433,2007-08
7,Phoenix Suns,82,55,27,0.671,3956,9026,3392,6782,50,694,1764,39.3,1548,1977,78.3,720,2683,3403,2188,1184,532,518,311,1633,1731,414,2007-08
8,San Antonio Spurs,82,56,26,0.683,3946,7820,2938,6424,45.7,594,1610,36.9,1350,1774,76.1,771,2612,3383,1718,1035,521,337,361,1537,1625,393,2007-08
9,Houston Rockets,82,55,27,0.671,3946,7931,3003,6698,44.8,583,1707,34.2,1342,1848,72.6,1002,2659,3661,1757,1125,598,420,379,1609,1615,384,2007-08
10,Dallas Mavericks,82,51,31,0.622,3946,8234,3025,6515,46.4,494,1403,35.2,1690,2075,81.4,883,2643,3526,1720,1037,490,402,357,1786,1739,372,2007-08
11,Denver Nuggets,82,50,32,0.61,3971,9074,3307,7038,47,569,1605,35.5,1891,2519,75.1,918,2698,3616,2024,1203,752,551,393,1731,1950,304,2007-08
12,Toronto Raptors,82,41,41,0.5,3966,8215,3148,6726,46.8,572,1459,39.2,1347,1658,81.2,790,2496,3286,1953,959,570,336,333,1596,1508,238,2007-08
13,Golden State Warriors,82,48,34,0.585,3956,9105,3403,7406,45.9,761,2185,34.8,1538,2044,75.2,1045,2496,3541,1833,1082,744,377,413,1875,1736,181,2007-08
14,Philadelphia 76ers,82,40,42,0.488,3951,7923,3056,6648,46,302,952,31.7,1509,2137,70.6,1067,2370,3437,1673,1172,712,400,420,1620,1708,34,2007-08
15,Washington Wizards,82,43,39,0.524,3981,8104,2986,6695,44.6,575,1614,35.6,1557,1991,78.2,1007,2404,3411,1607,1082,632,391,360,1606,1656,-27,2007-08
16,Cleveland Cavaliers,82,45,37,0.549,3971,7903,2937,6697,43.9,552,1544,35.8,1477,2061,71.7,1092,2563,3655,1640,1145,579,427,388,1712,1666,-29,2007-08
17,Portland Trail Blazers,82,41,41,0.5,3981,7820,2935,6546,44.8,538,1426,37.7,1412,1841,76.7,901,2438,3339,1733,1056,455,360,301,1642,1656,-80,2007-08
18,Indiana Pacers,82,36,46,0.439,3951,8527,3102,6993,44.4,755,2021,37.4,1568,2042,76.8,904,2633,3537,1864,1236,623,412,416,1921,1782,-115,2007-08
19,Atlanta Hawks,82,37,45,0.451,3971,8054,2975,6552,45.4,384,1078,35.6,1720,2227,77.2,1008,2454,3462,1804,1223,600,448,421,1673,1793,-149,2007-08
20,Sacramento Kings,82,38,44,0.463,3966,8408,3043,6558,46.4,510,1367,37.3,1812,2272,79.8,829,2456,3285,1567,1317,651,334,452,1839,1892,-185,2007-08
21,Chicago Bulls,82,33,49,0.402,3961,7981,2987,6861,43.5,474,1305,36.3,1533,2029,75.6,1050,2478,3528,1811,1197,635,429,465,1784,1746,-253,2007-08
22,Charlotte Bobcats,82,32,50,0.39,3976,7959,2960,6554,45.2,529,1443,36.7,1510,2115,71.4,892,2440,3332,1748,1204,614,402,476,1777,1721,-359,2007-08
23,New Jersey Nets,82,34,48,0.415,3966,7857,2856,6450,44.3,498,1430,34.8,1647,2237,73.6,913,2520,3433,1925,1229,521,390,362,1855,1836,-415,2007-08
24,Memphis Grizzlies,82,22,60,0.268,3961,8257,3060,6737,45.4,620,1779,34.9,1517,2097,72.3,848,2567,3415,1574,1251,503,386,403,1592,1842,-509,2007-08
25,New York Knicks,82,23,59,0.28,3976,7948,2967,6757,43.9,490,1454,33.7,1524,2095,72.7,1029,2457,3486,1530,1187,521,213,429,1761,1665,-542,2007-08
26,Minnesota Timberwolves,82,22,60,0.268,3946,7839,3076,6817,45.1,441,1259,35,1246,1693,73.6,964,2428,3392,1630,1188,616,306,467,1885,1434,-556,2007-08
27,Milwaukee Bucks,82,26,56,0.317,3971,7956,3026,6745,44.9,452,1313,34.4,1452,1980,73.3,1055,2363,3418,1760,1210,544,361,404,1748,1727,-565,2007-08
28,Los Angeles Clippers,82,23,59,0.28,3961,7692,2820,6445,43.8,350,1079,32.4,1702,2178,78.1,800,2491,3291,1732,1180,557,398,388,1745,1773,-596,2007-08
29,Miami Heat,82,15,67,0.183,3966,7491,2808,6336,44.3,491,1373,35.8,1384,1903,72.7,743,2342,3085,1644,1202,589,355,341,1670,1650,-709,2007-08
30,Seattle SuperSonics,82,20,62,0.244,3966,7999,3125,7032,44.4,313,939,33.3,1436,1866,77,971,2688,3659,1748,1310,531,400,440,1680,1610,-718,2007-08
1,San Antonio Spurs,82,58,24,0.707,3956,8079,2999,6328,47.4,595,1561,38.1,1486,1980,75.1,761,2577,3338,1814,1137,587,417,337,1588,1739,691,2006-07
2,Phoenix Suns,82,61,21,0.744,3981,9037,3388,6855,49.4,785,1965,39.9,1476,1827,80.8,737,2583,3320,2122,1189,553,394,304,1659,1759,599,2006-07
3,Dallas Mavericks,82,67,15,0.817,3951,8201,3010,6442,46.7,535,1404,38.1,1646,2045,80.5,920,2515,3435,1632,1140,560,408,312,1837,1811,592,2006-07
4,Chicago Bulls,82,49,33,0.598,3956,8100,3046,6663,45.7,480,1237,38.8,1528,2083,73.4,984,2597,3581,1832,1310,639,445,433,1908,1900,411,2006-07
5,Houston Rockets,82,52,30,0.634,3971,7953,2906,6528,44.5,705,1893,37.2,1436,1906,75.3,880,2673,3553,1704,1162,583,337,353,1710,1631,398,2006-07
6,Detroit Pistons,82,53,29,0.646,3976,7872,2942,6484,45.4,449,1305,34.4,1539,1988,77.4,948,2374,3322,1768,1001,583,472,290,1672,1668,341,2006-07
7,Cleveland Cavaliers,82,50,32,0.61,3976,7934,2978,6658,44.7,494,1404,35.2,1484,2133,69.6,1039,2529,3568,1708,1177,625,353,349,1781,1804,314,2006-07
8,Utah Jazz,82,51,31,0.622,3961,8322,3069,6471,47.4,354,1056,33.5,1830,2462,74.3,1030,2456,3486,2024,1277,577,339,438,2067,2010,235,2006-07
9,Denver Nuggets,82,45,37,0.549,3956,8639,3164,6805,46.5,484,1440,33.6,1827,2449,74.6,1001,2558,3559,1920,1352,678,435,424,1756,1946,133,2006-07
10,Toronto Raptors,82,47,35,0.573,3951,8157,3032,6547,46.3,531,1464,36.3,1562,1983,78.8,755,2480,3235,1822,1104,581,321,317,1672,1786,81,2006-07
11,Orlando Magic,82,40,42,0.488,3956,7771,2875,6090,47.2,342,962,35.6,1679,2393,70.2,920,2418,3338,1525,1392,565,416,376,1904,1921,64,2006-07
12,Los Angeles Lakers,82,42,40,0.512,4006,8474,3103,6664,46.6,608,1724,35.3,1660,2221,74.7,886,2495,3381,1850,1273,600,421,409,1889,1916,-6,2006-07
13,Golden State Warriors,82,42,40,0.512,3951,8737,3261,7048,46.3,700,1966,35.6,1515,2113,71.7,941,2455,3396,1950,1309,750,466,399,1933,1832,-28,2006-07
14,Los Angeles Clippers,82,40,42,0.488,3946,7843,2880,6318,45.6,314,903,34.8,1769,2245,78.8,888,2484,3372,1762,1239,596,472,321,1858,1829,-38,2006-07
15,Washington Wizards,82,41,41,0.5,3966,8556,3070,6820,45,561,1614,34.8,1855,2425,76.5,998,2379,3377,1660,1133,635,375,380,1823,1927,-42,2006-07
16,New Jersey Nets,82,41,41,0.5,3976,8001,2913,6379,45.7,609,1676,36.3,1566,2153,72.7,822,2525,3347,1962,1212,499,273,369,1869,1886,-63,2006-07
17,Miami Heat,82,44,38,0.537,3971,7759,2919,6288,46.4,528,1539,34.3,1393,2019,69,817,2526,3343,1681,1201,566,442,314,1749,1790,-75,2006-07
18,New Orleans/Oklahoma City Hornets,82,39,43,0.476,3976,7833,2971,6674,44.5,455,1256,36.2,1436,1941,74,1025,2512,3537,1537,1187,522,347,392,1620,1733,-129,2006-07
19,Sacramento Kings,82,33,49,0.402,3961,8303,2941,6532,45,530,1513,35,1891,2473,76.5,797,2396,3193,1665,1194,671,265,405,1792,1990,-148,2006-07
20,Indiana Pacers,82,35,47,0.427,3956,7840,2872,6561,43.8,481,1389,34.6,1615,2125,76,990,2441,3431,1680,1335,599,447,410,1912,1942,-200,2006-07
21,New York Knicks,82,33,49,0.402,4001,7994,2903,6356,45.7,474,1370,34.6,1714,2396,71.5,1032,2516,3548,1532,1405,543,260,406,1932,1875,-234,2006-07
22,Seattle SuperSonics,82,31,51,0.378,3966,8130,3047,6628,46,525,1451,36.2,1511,1911,79.1,928,2322,3250,1695,1268,631,301,341,1801,1635,-237,2006-07
23,Philadelphia 76ers,82,35,47,0.427,3976,7785,2932,6408,45.8,284,823,34.5,1637,2135,76.7,899,2353,3252,1669,1258,590,390,320,1671,1801,-248,2006-07
24,Boston Celtics,82,24,58,0.293,3971,7857,2858,6454,44.3,471,1283,36.7,1670,2178,76.7,918,2391,3309,1630,1350,589,382,449,1971,1757,-280,2006-07
25,Minnesota Timberwolves,82,32,50,0.39,4001,7877,2997,6502,46.1,384,1089,35.3,1499,1892,79.2,819,2473,3292,1848,1278,532,325,360,1758,1679,-301,2006-07
26,Charlotte Bobcats,82,33,49,0.402,4001,7945,2960,6643,44.6,457,1280,35.7,1568,2136,73.4,920,2346,3266,1836,1224,638,369,437,1985,1786,-307,2006-07
27,Portland Trail Blazers,82,32,50,0.39,3991,7717,2874,6392,45,426,1232,34.6,1543,2006,76.9,923,2299,3222,1513,1236,555,380,380,1931,1750,-352,2006-07
28,Milwaukee Bucks,82,28,54,0.341,3971,8172,3121,6714,46.5,524,1472,35.6,1406,1919,73.3,941,2272,3213,1771,1240,587,224,433,1821,1718,-359,2006-07
29,Atlanta Hawks,82,30,52,0.366,3976,7680,2831,6372,44.4,341,1038,32.9,1677,2203,76.1,976,2312,3288,1573,1306,609,446,421,1970,1853,-390,2006-07
30,Memphis Grizzlies,82,22,60,0.268,3996,8331,2998,6448,46.5,500,1362,36.7,1835,2410,76.1,866,2375,3241,1680,1343,564,407,450,1827,1992,-422,2006-07
1,San Antonio Spurs,82,63,19,0.768,3961,7837,2993,6342,47.2,524,1362,38.5,1327,1891,70.2,851,2548,3399,1717,1126,543,467,343,1714,1689,559,2005-06
2,Detroit Pistons,82,64,18,0.78,3966,7941,2983,6558,45.5,557,1451,38.4,1418,1950,72.7,975,2347,3322,1971,931,580,490,285,1513,1710,547,2005-06
3,Dallas Mavericks,82,60,22,0.732,3976,8130,2948,6375,46.2,416,1113,37.4,1818,2322,78.3,1030,2431,3461,1473,1112,593,488,400,1834,1938,498,2005-06
4,Phoenix Suns,82,54,28,0.659,3991,8886,3430,7167,47.9,837,2097,39.9,1189,1475,80.6,778,2650,3428,2179,1088,549,412,282,1683,1623,455,2005-06
5,Miami Heat,82,52,30,0.634,3951,8191,3039,6355,47.8,497,1441,34.5,1616,2310,70,858,2675,3533,1692,1186,522,442,298,1871,1938,317,2005-06
6,Memphis Grizzlies,82,49,33,0.598,3971,7558,2746,6125,44.8,590,1578,37.4,1476,2077,71.1,834,2379,3213,1586,1134,600,442,456,1757,1867,303,2005-06
7,Los Angeles Lakers,82,45,37,0.549,3971,8154,2992,6607,45.3,552,1583,34.9,1618,2172,74.5,970,2488,3458,1734,1143,628,350,354,1894,1925,205,2005-06
8,Cleveland Cavaliers,82,50,32,0.61,3966,8002,2908,6412,45.4,497,1465,33.9,1689,2318,72.9,959,2511,3470,1560,1137,567,392,357,1733,1842,183,2005-06
9,Indiana Pacers,82,41,41,0.5,3946,7699,2786,6274,44.4,536,1536,34.9,1591,2158,73.7,898,2559,3457,1631,1254,598,409,399,1821,1800,155,2005-06
10,Washington Wizards,82,42,40,0.512,3966,8336,2975,6656,44.7,497,1394,35.7,1889,2496,75.7,1035,2344,3379,1523,1143,658,339,341,1855,2053,152,2005-06
11,Los Angeles Clippers,82,47,35,0.573,3961,7970,2993,6443,46.5,290,843,34.4,1694,2142,79.1,828,2704,3532,1708,1185,534,503,355,1872,1777,129,2005-06
12,Sacramento Kings,82,44,38,0.537,3966,8106,2954,6500,45.4,494,1408,35.1,1704,2173,78.4,852,2473,3325,1825,1199,608,299,403,1672,1870,126,2005-06
13,New Jersey Nets,82,49,33,0.598,3956,7691,2778,6317,44,477,1447,33,1658,2187,75.8,822,2539,3361,1884,1119,558,278,329,1903,1889,112,2005-06
14,Chicago Bulls,82,41,41,0.5,3981,8020,3004,6737,44.6,560,1477,37.9,1452,1967,73.8,906,2602,3508,1804,1224,508,345,420,2038,1882,52,2005-06
15,Denver Nuggets,82,44,38,0.537,3986,8227,3078,6672,46.1,350,1076,32.5,1721,2312,74.4,903,2486,3389,1921,1216,698,463,436,1863,1911,19,2005-06
16,Milwaukee Bucks,82,40,42,0.488,3971,8020,2976,6566,45.3,507,1335,38,1561,2115,73.8,929,2448,3377,1769,1197,597,270,414,1902,1937,-85,2005-06
17,Orlando Magic,82,36,46,0.439,3981,7784,2911,6167,47.2,299,796,37.6,1663,2277,73,892,2402,3294,1495,1240,532,362,386,1908,1899,-88,2005-06
18,Golden State Warriors,82,34,48,0.415,3966,8076,2939,6785,43.3,625,1832,34.1,1573,2190,71.8,980,2485,3465,1694,1156,604,356,409,1941,1918,-111,2005-06
19,Boston Celtics,82,33,49,0.402,3976,8033,2951,6322,46.7,467,1290,36.2,1664,2204,75.5,813,2432,3245,1716,1359,578,422,404,2033,1837,-126,2005-06
20,Houston Rockets,82,34,48,0.415,3966,7387,2708,6252,43.3,469,1414,33.2,1502,1980,75.9,849,2565,3414,1580,1193,588,320,373,1863,1716,-130,2005-06
21,Minnesota Timberwolves,82,33,49,0.402,3971,7522,2888,6340,45.6,310,942,32.9,1436,1895,75.8,811,2422,3233,1716,1189,559,471,374,1889,1736,-154,2005-06
22,Philadelphia 76ers,82,38,44,0.463,3981,8147,3001,6546,45.8,375,1031,36.4,1770,2330,76,873,2425,3298,1653,1159,651,404,386,1712,1898,-160,2005-06
23,Utah Jazz,82,41,41,0.5,3976,7573,2744,6207,44.2,311,925,33.6,1774,2466,71.9,1071,2380,3451,1772,1290,524,492,463,2032,2104,-216,2005-06
