Team,GP,W,L,Min,Passes Made,Passes Received,Ast,Secondary Ast,Potential Ast,Ast Pts Created,Ast Adj,Ast to Pass %,Ast to Pass % Adj,Season
Sacramento Kings,81,33,48,19565,22948,22948,1988,222,4077,4894,2419,8.7,10.5,2015-16
San Antonio Spurs,82,67,15,19705,26947,26947,2010,318,3768,4832,2475,7.5,9.2,2015-16
Toronto Raptors,81,55,26,19515,24579,24579,1516,177,3149,3896,1845,6.2,7.5,2015-16
Utah Jazz,82,40,42,19955,28886,28886,1554,194,3631,4011,1964,5.4,6.8,2015-16
Washington Wizards,82,41,41,19755,24167,24167,2005,228,4108,5009,2453,8.3,10.2,2015-16
Atlanta Hawks,82,60,22,19730,26591,26591,2111,320,4164,5296,2602,7.9,9.8,2014-15
Boston Celtics,82,40,42,19880,24999,24997,2009,224,4209,4922,2426,8,9.7,2014-15
Brooklyn Nets,82,38,44,19930,22383,22382,1716,204,3685,4276,2143,7.7,9.6,2014-15
Charlotte Hornets,82,33,49,19905,24719,24717,1654,283,3476,3991,2111,6.7,8.5,2014-15
Chicago Bulls,82,50,32,19880,24927,24926,1781,265,3782,4488,2261,7.1,9.1,2014-15
Cleveland Cavaliers,81,53,28,19540,23438,23436,1798,262,3469,4562,2241,7.7,9.6,2014-15
Dallas Mavericks,82,50,32,19880,25201,25199,1846,249,3860,4677,2304,7.3,9.1,2014-15
Denver Nuggets,82,30,52,19880,21660,21659,1788,210,3997,4512,2237,8.3,10.3,2014-15
Detroit Pistons,82,32,50,19830,22329,22328,1771,213,3665,4425,2178,7.9,9.8,2014-15
Golden State Warriors,82,67,15,19730,25144,25140,2248,278,4134,5525,2712,8.9,10.8,2014-15
Houston Rockets,81,55,26,19565,24225,24223,1795,244,3876,4594,2228,7.4,9.2,2014-15
Indiana Pacers,82,38,44,19855,25513,25511,1757,294,3945,4316,2209,6.9,8.7,2014-15
Los Angeles Clippers,82,56,26,19730,24108,24106,2031,335,3956,5050,2565,8.4,10.6,2014-15
Los Angeles Lakers,82,21,61,19930,22164,22161,1715,155,3571,4082,2042,7.7,9.2,2014-15
Memphis Grizzlies,82,55,27,19905,25335,25334,1777,281,3789,4289,2274,7,9,2014-15
Miami Heat,81,36,45,19490,24628,24628,1599,209,3574,4012,2012,6.5,8.2,2014-15
Milwaukee Bucks,81,40,41,19690,23278,23278,1911,273,3893,4623,2391,8.2,10.3,2014-15
Minnesota Timberwolves,81,16,65,19565,22490,22489,1749,197,3782,4225,2174,7.8,9.7,2014-15
New Orleans Pelicans,82,45,37,19780,22199,22199,1806,159,3599,4502,2187,8.1,9.9,2014-15
New York Knicks,81,17,64,19615,29357,29357,1724,230,3880,4189,2107,5.9,7.2,2014-15
Oklahoma City Thunder,82,45,37,19830,22223,22221,1681,153,3522,4118,1988,7.6,8.9,2014-15
Orlando Magic,82,25,57,19755,22880,22880,1692,203,3529,4098,2032,7.4,8.9,2014-15
Philadelphia 76ers,82,18,64,19805,26766,26765,1683,173,3846,4287,2057,6.3,7.7,2014-15
Phoenix Suns,82,39,43,19880,23665,23665,1659,165,3588,4098,1960,7,8.3,2014-15
Portland Trail Blazers,82,51,31,19855,23586,23586,1799,262,3873,4477,2199,7.6,9.3,2014-15
Sacramento Kings,82,29,53,19855,23286,23285,1667,155,3454,4098,2061,7.2,8.9,2014-15
San Antonio Spurs,82,55,27,19955,28073,28073,2000,347,3909,5014,2550,7.1,9.1,2014-15
Toronto Raptors,82,49,33,19855,22558,22557,1701,213,3304,4289,2091,7.5,9.3,2014-15
Utah Jazz,82,38,44,19705,29853,29853,1632,225,3798,4190,2108,5.5,7.1,2014-15
Washington Wizards,82,46,36,19955,24557,24556,1969,220,3932,4733,2406,8,9.8,2014-15
Atlanta Hawks,81,38,43,19590,25934,25934,2015,255,4091,5028,2456,7.8,9.5,2013-14
Boston Celtics,82,25,57,19730,24429,24429,1726,197,3741,4233,2098,7.1,8.6,2013-14
Brooklyn Nets,81,43,38,19640,23697,23697,1676,211,3576,4303,2079,7.1,8.8,2013-14
Charlotte Bobcats,81,42,39,19665,26080,26080,1765,249,3696,4300,2215,6.8,8.5,2013-14
Chicago Bulls,82,48,34,19930,26056,26055,1860,266,4122,4544,2355,7.1,9,2013-14
Cleveland Cavaliers,82,33,49,19930,24345,24344,1738,189,3574,4273,2127,7.1,8.7,2013-14
Dallas Mavericks,82,49,33,19830,25384,25384,1935,296,3963,4786,2411,7.6,9.5,2013-14
Denver Nuggets,82,36,46,19755,21516,21514,1838,211,3961,4618,2289,8.5,10.6,2013-14
Detroit Pistons,82,29,53,19780,21244,21244,1714,186,3592,4148,2130,8.1,10,2013-14
Golden State Warriors,81,50,31,19590,19744,19743,1890,230,3621,4629,2289,9.6,11.6,2013-14
Houston Rockets,82,54,28,19830,24059,24059,1755,212,3520,4492,2183,7.3,9.1,2013-14
Indiana Pacers,82,56,26,19780,24558,24556,1651,204,3603,4055,2027,6.7,8.3,2013-14
Los Angeles Clippers,82,57,25,19755,24971,24969,2016,330,4031,4998,2573,8.1,10.3,2013-14
Los Angeles Lakers,82,27,55,19705,25124,25122,2006,266,4109,5044,2470,8,9.8,2013-14
Memphis Grizzlies,82,50,32,19805,25260,25260,1792,309,3824,4255,2302,7.1,9.1,2013-14
Miami Heat,82,54,28,19880,23975,23974,1847,325,3746,4634,2371,7.7,9.9,2013-14
Milwaukee Bucks,81,15,66,19640,25930,25930,1735,228,3716,4231,2179,6.7,8.4,2013-14
Minnesota Timberwolves,82,40,42,19855,24879,24879,1963,249,4303,4909,2489,7.9,10,2013-14
New Orleans Pelicans,82,34,48,19855,22256,22255,1745,125,3497,4292,2091,7.8,9.4,2013-14
New York Knicks,82,37,45,19855,22950,22949,1641,206,3623,4120,1990,7.2,8.7,2013-14
Oklahoma City Thunder,82,59,23,19805,21510,21509,1794,184,3597,4366,2156,8.3,10,2013-14
Orlando Magic,82,23,59,19955,23471,23470,1726,230,3808,4206,2133,7.4,9.1,2013-14
Philadelphia 76ers,82,19,63,19855,24715,24715,1791,220,3838,4396,2210,7.2,8.9,2013-14
Phoenix Suns,82,48,34,19755,22785,22782,1563,170,3454,4024,1893,6.9,8.3,2013-14
Portland Trail Blazers,82,54,28,19855,24230,24230,1904,283,3962,4779,2375,7.9,9.8,2013-14
Sacramento Kings,81,28,53,19590,21628,21628,1525,129,3289,3719,1839,7.1,8.5,2013-14
San Antonio Spurs,82,62,20,19755,27114,27114,2064,347,4004,5088,2609,7.6,9.6,2013-14
Toronto Raptors,81,47,34,19715,24050,24049,1718,236,3589,4357,2136,7.1,8.9,2013-14
Utah Jazz,82,25,57,19780,26199,26199,1664,214,3834,4148,2074,6.4,7.9,2013-14
Washington Wizards,81,44,37,19815,25530,25530,1893,259,3896,4695,2356,7.4,9.2,2013-14
